Description,Price,Category,Shop Name,Shop Function
Bundle of twine (10 feet), 1 sp,Item,Hemp Haven,Rope Maker
Cargo net (20-foot square), 8 gp,Item,Hemp Haven,Rope Maker
"Climbing gear (includes rope, pitons, and harness)", 50 gp,Item,Hemp Haven,Rope Maker
Fishing net (10-foot square), 4 gp,Item,Hemp Haven,Rope Maker
Lasso, 1 gp,Item,Hemp Haven,Rope Maker
Rope ladder (20-foot length), 1 gp,Item,Hemp Haven,Rope Maker
Ship’s rigging (custom length), 5 gp per 10 feet,Item,Hemp Haven,Rope Maker
Tether (10-foot length with loop), 5 sp,Item,Hemp Haven,Rope Maker
Custom Rope Braiding (per foot), 2 cp,Service,Hemp Haven,Rope Maker
Custom Rope Cutting (per foot), 1 cp,Service,Hemp Haven,Rope Maker
Rope Dying,1 gp,Service,Hemp Haven,Rope Maker
Rope Splicing and Repair (per splice), 1 sp,Service,Hemp Haven,Rope Maker
Rope Strength Testing (per rope), 5 sp,Service,Hemp Haven,Rope Maker
Embroidery Threads (for adding intricate details), 2 gp per set,Item,Loom & Stitches Knotwork,Rug Weaver
Exotic Dyed Yarns (vibrant or rare colors), 5 gp per bundle,Item,Loom & Stitches Knotwork,Rug Weaver
Handcrafted Rug Beater, 1 gp,Item,Loom & Stitches Knotwork,Rug Weaver
Large Carpet (6x9 feet), 40 gp,Item,Loom & Stitches Knotwork,Rug Weaver
Linen Yarn Bundle (for intricate patterns), 3 gp,Item,Loom & Stitches Knotwork,Rug Weaver
Luxurious Masterpiece Rug, 100 gp and above (custom orders),Item,Loom & Stitches Knotwork,Rug Weaver
Medium Rug (4x6 feet), 15 gp,Item,Loom & Stitches Knotwork,Rug Weaver
Natural Dye Kit (DIY dyeing at home), 8 gp,Item,Loom & Stitches Knotwork,Rug Weaver
Patterned Rug Padding (to enhance comfort), 3 gp,Item,Loom & Stitches Knotwork,Rug Weaver
Quality Metal Shears, 2 gp,Item,Loom & Stitches Knotwork,Rug Weaver
Rug Cleaning Kit (specialized brushes and cleaning solution), 5 gp,Item,Loom & Stitches Knotwork,Rug Weaver
Small Tapestry (2x3 feet), 5 gp,Item,Loom & Stitches Knotwork,Rug Weaver
Stain-Repellent Treatment (for a single rug), 5 gp,Item,Loom & Stitches Knotwork,Rug Weaver
Tapestry Hanging Rods (decorative and functional), 3 gp each,Item,Loom & Stitches Knotwork,Rug Weaver
Tassel and Fringe Set (for decorative borders), 2 gp per set,Item,Loom & Stitches Knotwork,Rug Weaver
Traditional Weaving Stool, 1 gp,Item,Loom & Stitches Knotwork,Rug Weaver
Wooden Loom (small), 20 gp,Item,Loom & Stitches Knotwork,Rug Weaver
Wool Yarn Bundle (enough for a small rug), 1 gp,Item,Loom & Stitches Knotwork,Rug Weaver
Custom Rug Design," 10 gp (basic design), 25 gp and above (intricate or detailed custom designs)",Service,Loom & Stitches Knotwork,Rug Weaver
Delivery Service (within town), 2 gp,Service,Loom & Stitches Knotwork,Rug Weaver
Dyeing Service (per rug), 5 gp,Service,Loom & Stitches Knotwork,Rug Weaver
Expedited Rug Production (faster completion), 20 gp additional fee,Service,Loom & Stitches Knotwork,Rug Weaver
Expert Consultation (for complex projects), 5 gp per hour,Service,Loom & Stitches Knotwork,Rug Weaver
Rug Appraisal (for antique rugs), 10 gp,Service,Loom & Stitches Knotwork,Rug Weaver
Rug Repair (per square foot), 1 gp,Service,Loom & Stitches Knotwork,Rug Weaver
Brine Barrel (10 gallons), 1 gp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Brine Stirrer, 2 sp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Common Brine (1 gallon), 2 sp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Common Salt (1 lb), 5 cp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Epsom Salt (1 lb), 3 sp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Fine Salt (1 lb), 1 sp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Gourmet Salt (1 lb), 5 sp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Pickled Vegetables (1 lb), 1 sp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Preserved Vegetables (1 lb), 5 cp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Rock Salt (1 lb), 3 sp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Salt Barrel, 1 gp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Salt Grinder, 5 sp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Salt Tablet (antidote), 5 gp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Salted Beef (1 lb), 2 sp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Salted Caramel Candies (1 lb), 1 sp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Salted Fish (1 lb), 2 sp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Salted Nuts (1 lb), 5 cp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Salted Pork (1 lb), 2 sp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Salted Pretzels (1 lb), 5 cp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Salted Venison (1 lb), 3 sp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Saltpeter (1 lb), 2 sp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Saltwater Elixir (healing), 10 gp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Sea Salt (1 lb), 2 sp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Sodium Chloride (1 lb), 5 cp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Specialized Brine (1 gallon), 5 sp,Item,The Boiling Cauldron Saltworks,Salt Boiler
Brine Boiling Service (per gallon), 1 sp,Service,The Boiling Cauldron Saltworks,Salt Boiler
Salt Crystal Harvesting Service (per lb), 5 cp,Service,The Boiling Cauldron Saltworks,Salt Boiler
Bag of bark, 8 cp,Item,Knightwood Timberworks,Sawyer
Bag of sawdust, 5 cp,Item,Knightwood Timberworks,Sawyer
"Fine Quality Plank (well-crafted, polished)", 5 sp ,Item,Knightwood Timberworks,Sawyer
"Firewood - Aromatic Wood Bundle (e.g., cedar, pine)", 5 sp,Item,Knightwood Timberworks,Sawyer
Firewood - Standard Bundle, 1 sp,Item,Knightwood Timberworks,Sawyer
Ornate Design Beam (intricate carvings), 1 gp,Item,Knightwood Timberworks,Sawyer
Standard Quality Beam (per beam), 5 sp,Item,Knightwood Timberworks,Sawyer
Standard Quality Plank (per plank), 2 sp,Item,Knightwood Timberworks,Sawyer
Bug Proofing Treatment (per log), 2 cp ,Service,Knightwood Timberworks,Sawyer
Custom Sawing Per Log, 1 sp ,Service,Knightwood Timberworks,Sawyer
Distant Delivery (10-50 miles), 5 - 15 gp,Service,Knightwood Timberworks,Sawyer
Local Delivery (within 10 miles), 2 gp,Service,Knightwood Timberworks,Sawyer
Precision Sawing (for intricate designs), 5 sp per log,Service,Knightwood Timberworks,Sawyer
Waterproofing Treatment (per log), 3 cp,Service,Knightwood Timberworks,Sawyer
Illumination Materials, 4 gp for a small set,Item,Calligrapher's Corner Scriptorium,Scribe
Ink, 1 sp per vial,Item,Calligrapher's Corner Scriptorium,Scribe
Inkwell, 5 sp,Item,Calligrapher's Corner Scriptorium,Scribe
Papyrus, 2 sp per sheet,Item,Calligrapher's Corner Scriptorium,Scribe
Parchment,  1 sp per sheet,Item,Calligrapher's Corner Scriptorium,Scribe
Quills, 2 cp each,Item,Calligrapher's Corner Scriptorium,Scribe
Scribe’s Desk, 20 gp each,Item,Calligrapher's Corner Scriptorium,Scribe
Scroll Cases, 1 gp each,Item,Calligrapher's Corner Scriptorium,Scribe
Sealing Wax, 1 cp per stick,Item,Calligrapher's Corner Scriptorium,Scribe
Wax Seal Stamp, 5 gp ,Item,Calligrapher's Corner Scriptorium,Scribe
Calligraphy, 1 gp per page ,Service,Calligrapher's Corner Scriptorium,Scribe
Copying Manuscripts, 5 sp per page,Service,Calligrapher's Corner Scriptorium,Scribe
Illumination, 5 gp per page ,Service,Calligrapher's Corner Scriptorium,Scribe
Notarization, 1 gp per document,Service,Calligrapher's Corner Scriptorium,Scribe
Translation, 10 gp per page ,Service,Calligrapher's Corner Scriptorium,Scribe
Brass Ship’s Bell, 5 gp,Item,Timber & Tides Shipworks,Shipwright
Carved Figurehead (Custom), 50 gp,Item,Timber & Tides Shipworks,Shipwright
Cask of Tar or Pitch, 5 gp,Item,Timber & Tides Shipworks,Shipwright
Coil of Hemp Rope (50 feet), 1 gold piece,Item,Timber & Tides Shipworks,Shipwright
Copper Compass, 15 gp,Item,Timber & Tides Shipworks,Shipwright
Copper Sextant, 30 gp,Item,Timber & Tides Shipworks,Shipwright
Large Brass Ship Lantern, 7 gp,Item,Timber & Tides Shipworks,Shipwright
Mariner’s Astrolabe, 15 gp,Item,Timber & Tides Shipworks,Shipwright
Nautical Charts (Regional), 10 gp,Item,Timber & Tides Shipworks,Shipwright
Set of Rigging Tools, 8 gp,Item,Timber & Tides Shipworks,Shipwright
Ship Caulking Kit, 3 gp,Item,Timber & Tides Shipworks,Shipwright
Ship Nails (per pound), 5 sp,Item,Timber & Tides Shipworks,Shipwright
Shipwright’s Toolkit, 25 gp,Item,Timber & Tides Shipworks,Shipwright
Water Barrel, 2 sp,Item,Timber & Tides Shipworks,Shipwright
Wooden Figurehead (pre-made), 10 gp,Item,Timber & Tides Shipworks,Shipwright
Wooden Plank (per 10 feet), 2 sp,Item,Timber & Tides Shipworks,Shipwright
Basic Ship Repair (per day), 5+ gp,Service,Timber & Tides Shipworks,Shipwright
Custom Ship Design Consultation, 50 gp,Service,Timber & Tides Shipworks,Shipwright
Emergency Hull Patching, 10+ gp,Service,Timber & Tides Shipworks,Shipwright
Full Ship Inspection and Maintenance, 20+ gp,Service,Timber & Tides Shipworks,Shipwright
Hull Waterproofing (per ship), 25+ gp,Service,Timber & Tides Shipworks,Shipwright
Mast Replacement (per mast), 50+ gp,Service,Timber & Tides Shipworks,Shipwright
Rigging Installation (small ship), 30 gp,Service,Timber & Tides Shipworks,Shipwright
Sea Trials and Performance Tuning, 30 gp,Service,Timber & Tides Shipworks,Shipwright
Elaborate Silver Clock, 50 gp,Item,Mythical Chains Silverworks,Silversmith
Engraved Silver Goblet, 10 gp,Item,Mythical Chains Silverworks,Silversmith
Filigree Silver Dagger, 25 gp,Item,Mythical Chains Silverworks,Silversmith
Pair of Silver Earrings, 8 gp,Item,Mythical Chains Silverworks,Silversmith
Polished Silver Mirror, 20 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Anklet, 5 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Armlet, 10 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Belt Buckle, 8 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Bowl, 8 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Bracelet with Gemstone, 15 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Bracelet, 7 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Brooch, 5 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Buckle with Hidden Compartment, 15 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Candelabrum, 20 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Chalice with Intricate Design, 30 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Dish, 10 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Embossed Hand Mirror, 18 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Fork Set, 5 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Hairpin Set, 5 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Hilted Shortsword, 30 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Inkwell with Quill, 10 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Knife Set, 6 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Ladle, 7 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Necklace, 5 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Ring, 6 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Sculpture of a Dragon, 40 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Spoon Set, 5 gp,Item,Mythical Chains Silverworks,Silversmith
"Silver Tea Set (teapot, cups, saucers)", 25 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Torc (neck ring), 12 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Tray, 15 gp,Item,Mythical Chains Silverworks,Silversmith
Silver Wall Sconces (pair), 35 gp,Item,Mythical Chains Silverworks,Silversmith
Crafting Simple Silver Amulet or Talisman, 15 gp,Service,Mythical Chains Silverworks,Silversmith
Custom Filigree Work, Starting at 30 gp,Service,Mythical Chains Silverworks,Silversmith
Custom Jewelry Design, Starting at 50 gp ,Service,Mythical Chains Silverworks,Silversmith
Gemstone Setting, 10 gp per gemstone,Service,Mythical Chains Silverworks,Silversmith
Polishing and Cleaning Service, 2 - 5 sp per item,Service,Mythical Chains Silverworks,Silversmith
Silverware Repair, 5 gp per item,Service,Mythical Chains Silverworks,Silversmith
Bottle of Leather Conditioner, 3 gp,Item,Blade & Hide Skinsmiths,Skinner
Bracers of Tanned Hide, 25 gp,Item,Blade & Hide Skinsmiths,Skinner
Leather Belt with Pouch, 7 gp,Item,Blade & Hide Skinsmiths,Skinner
Leather Boots, 10 gp,Item,Blade & Hide Skinsmiths,Skinner
Leather Gauntlets, 12 gp,Item,Blade & Hide Skinsmiths,Skinner
Leather Map Case, 6 gp,Item,Blade & Hide Skinsmiths,Skinner
Leather Quiver, 5 gp,Item,Blade & Hide Skinsmiths,Skinner
Leather strips (pack of 5), 6 sp,Item,Blade & Hide Skinsmiths,Skinner
Leather-Bound Flask Holder, 5 gp,Item,Blade & Hide Skinsmiths,Skinner
Pouch of Tanning Agents, 5 gp,Item,Blade & Hide Skinsmiths,Skinner
Saddlebags for Mounts, 12 gp,Item,Blade & Hide Skinsmiths,Skinner
Sheath for Dagger or Short Sword, 8 gp,Item,Blade & Hide Skinsmiths,Skinner
Stylish Leather Hat, 3 gp,Item,Blade & Hide Skinsmiths,Skinner
Tanned Animal Hide (per square yard), 2 gp,Item,Blade & Hide Skinsmiths,Skinner
Tanning Toolkit, 15 gp,Item,Blade & Hide Skinsmiths,Skinner
Traveler’s Cloak, 15 gp,Item,Blade & Hide Skinsmiths,Skinner
Engraving or Tooling (per item), 2 gp ,Service,Blade & Hide Skinsmiths,Skinner
Hide Tanning Service, 5 gp per hide,Service,Blade & Hide Skinsmiths,Skinner
Leather Dyeing Service, 5 sp - 3 gp per item,Service,Blade & Hide Skinsmiths,Skinner
Leather Repair and Alteration, 5 sp - 20 gp,Service,Blade & Hide Skinsmiths,Skinner
Bag of Oats, 2 sp,Item,Ironhoof Stables,Stables
Bale of Hay, 5 sp,Item,Ironhoof Stables,Stables
Bridle, 2 gp,Item,Ironhoof Stables,Stables
"Feed (per day, per horse)", 5 sp,Item,Ironhoof Stables,Stables
Hoof Pick, 5 sp,Item,Ironhoof Stables,Stables
Horse Brush, 5 sp,Item,Ironhoof Stables,Stables
Horseshoes (set of 4), 1 gp,Item,Ironhoof Stables,Stables
Lead Rope, 2 sp,Item,Ironhoof Stables,Stables
Saddle, 10 gp,Item,Ironhoof Stables,Stables
Stirrups, 2 gp,Item,Ironhoof Stables,Stables
Breeding Services (per mating attempt), 10 gp,Service,Ironhoof Stables,Stables
"Farrier Services (hoof trimming, per horse)", 1 gp,Service,Ironhoof Stables,Stables
"Grooming (per session, per horse)", 1 sp,Service,Ironhoof Stables,Stables
"Stabling (per day, per horse)", 5 sp,Service,Ironhoof Stables,Stables
Tack Repair, 1 gp,Service,Ironhoof Stables,Stables
"Training Session (basic obedience, per horse)", 5 gp,Service,Ironhoof Stables,Stables
Basic Breeches, 5 sp,Item,Tunic & Tassel Tailors,Tailor
Basic Tunic, 5 sp,Item,Tunic & Tassel Tailors,Tailor
Belt (embroidered), 1 gp,Item,Tunic & Tassel Tailors,Tailor
Belt (leather), 5 sp,Item,Tunic & Tassel Tailors,Tailor
Common Cloak, 2 sp,Item,Tunic & Tassel Tailors,Tailor
Cotton Fabric (per yard), 5 sp,Item,Tunic & Tassel Tailors,Tailor
Cotton Shirt, 5 sp,Item,Tunic & Tassel Tailors,Tailor
Embroidered Dress (fancy), 5 gp,Item,Tunic & Tassel Tailors,Tailor
Embroidered Scarf, 2 gp,Item,Tunic & Tassel Tailors,Tailor
Feathered Hat (fashionable), 1 gp,Item,Tunic & Tassel Tailors,Tailor
Fine Leather Pants, 5 gp,Item,Tunic & Tassel Tailors,Tailor
Fine Woolen Tunic, 1 gp,Item,Tunic & Tassel Tailors,Tailor
Leather Gloves, 1 gp,Item,Tunic & Tassel Tailors,Tailor
Leather Hat, 5 sp,Item,Tunic & Tassel Tailors,Tailor
Linen Fabric (per yard), 1 sp,Item,Tunic & Tassel Tailors,Tailor
Linen Shirt, 1 sp,Item,Tunic & Tassel Tailors,Tailor
Noble Cloak (embroidered), 1 gp,Item,Tunic & Tassel Tailors,Tailor
Noblewoman’s Gown (elaborate), 10 gp,Item,Tunic & Tassel Tailors,Tailor
Pouch (embroidered), 1 gp,Item,Tunic & Tassel Tailors,Tailor
Pouch (leather), 5 sp,Item,Tunic & Tassel Tailors,Tailor
Silk Fabric (per yard), 1 gp,Item,Tunic & Tassel Tailors,Tailor
Silk Gloves (luxurious), 5 gp,Item,Tunic & Tassel Tailors,Tailor
Silk Scarf, 1 gp,Item,Tunic & Tassel Tailors,Tailor
Silk Shirt (finely crafted), 5 gp,Item,Tunic & Tassel Tailors,Tailor
Silk Tunic (luxurious), 5 gp,Item,Tunic & Tassel Tailors,Tailor
Simple Dress, 1 gp,Item,Tunic & Tassel Tailors,Tailor
Traveler’s Cloak (with hood), 5 sp,Item,Tunic & Tassel Tailors,Tailor
Woolen Cap, 1 sp,Item,Tunic & Tassel Tailors,Tailor
Woolen Fabric (per yard), 1 gp,Item,Tunic & Tassel Tailors,Tailor
Woolen Gloves, 5 sp,Item,Tunic & Tassel Tailors,Tailor
Woolen Pants, 1 gp,Item,Tunic & Tassel Tailors,Tailor
Woolen Scarf, 5 sp,Item,Tunic & Tassel Tailors,Tailor
Advanced Tailoring (custom fit), 1 gp per garment,Service,Tunic & Tassel Tailors,Tailor
Basic Alterations, 5 sp per garment,Service,Tunic & Tassel Tailors,Tailor
Basic Dyeing (common colors), 5 sp per garment,Service,Tunic & Tassel Tailors,Tailor
Basic Embroidery (simple designs), 5 sp per item,Service,Tunic & Tassel Tailors,Tailor
Custom Dyeing (specific colors), 1 gp per garment,Service,Tunic & Tassel Tailors,Tailor
Elaborate Embroidery (intricate designs), 1 gp per item,Service,Tunic & Tassel Tailors,Tailor
Noble Crest Embroidery (heraldic symbols), 5 gp per item,Service,Tunic & Tassel Tailors,Tailor
Noble Fabric Dyeing (rich hues), 5 gp per garment,Service,Tunic & Tassel Tailors,Tailor
Noble Garment Commission (elaborate), 5 gp per garment,Service,Tunic & Tassel Tailors,Tailor
Custom Tattoo Design," Varies depending on complexity, starting at 5 gp",Item,Artful Markings,Tattooist
Herbal Salve, 5 sp per jar,Item,Artful Markings,Tattooist
Ink Pot (1 oz.), 5 sp,Item,Artful Markings,Tattooist
Needle (single use), 1 sp,Item,Artful Markings,Tattooist
Pain Relief Potion, 5 gp per vial,Item,Artful Markings,Tattooist
Parchment (for designs), 2 cp per sheet,Item,Artful Markings,Tattooist
Specialty Ink, 2 gp per ounce,Item,Artful Markings,Tattooist
Sterilization Kit, 1 gp,Item,Artful Markings,Tattooist
Tattoo Aftercare Kit, 5 gp,Item,Artful Markings,Tattooist
Tattoo Designs (pre-made), 1 sp per design,Item,Artful Markings,Tattooist
Tattoo Transfer Paper, 2 sp per sheet,Item,Artful Markings,Tattooist
Custom Tattoo Design Fee, 10 gp per hour of design work,Service,Artful Markings,Tattooist
Large Tattoo, 20 gp,Service,Artful Markings,Tattooist
Medium Tattoo, 10 gp,Service,Artful Markings,Tattooist
Small Tattoo, 5 gp,Service,Artful Markings,Tattooist
Temporary Tattoo, 2 gp,Service,Artful Markings,Tattooist
Touch-Up Session, 2 gp per hour of touch-up work,Service,Artful Markings,Tattooist
Baling Needle, 2 cp,Item,Rustic Ridge Thatching,Thatcher
Binding Wire (per yard), 2 cp,Item,Rustic Ridge Thatching,Thatcher
Bundle of Reeds, 5 cp,Item,Rustic Ridge Thatching,Thatcher
Bundle of Rushes, 3 cp,Item,Rustic Ridge Thatching,Thatcher
Bundle of Sedge, 6 cp,Item,Rustic Ridge Thatching,Thatcher
Bundle of Straw, 2 cp,Item,Rustic Ridge Thatching,Thatcher
Bundle of Thatch Mix (Assorted Materials), 1 sp,Item,Rustic Ridge Thatching,Thatcher
Bundle of Wheat Stalks, 4 cp,Item,Rustic Ridge Thatching,Thatcher
Carved Gargoyle (small), 2 gp,Item,Rustic Ridge Thatching,Thatcher
Decorative Weathervane, 5 sp,Item,Rustic Ridge Thatching,Thatcher
Hand Scythe, 5 cp,Item,Rustic Ridge Thatching,Thatcher
Leggett, 1 sp,Item,Rustic Ridge Thatching,Thatcher
Roofing Nails (per pound), 5 cp,Item,Rustic Ridge Thatching,Thatcher
Spar Hook, 3 cp,Item,Rustic Ridge Thatching,Thatcher
Tar or Pitch (per gallon), 5 sp,Item,Rustic Ridge Thatching,Thatcher
Thatching Hook, 1 sp,Item,Rustic Ridge Thatching,Thatcher
Wooden Finials (each), 1 sp,Item,Rustic Ridge Thatching,Thatcher
Inspection and Assessment, 2 sp,Service,Rustic Ridge Thatching,Thatcher
New Thatched Roof (per square foot), 5 sp,Service,Rustic Ridge Thatching,Thatcher
Re-Thatching (per square foot), 3 sp,Service,Rustic Ridge Thatching,Thatcher
Thatching Repair (per hour of labor), 1 sp,Service,Rustic Ridge Thatching,Thatcher
Alchemist’s Supplies (basic set), 50 gp,Item,Gear & Gadget Craftworks,Tinkerer
Clockwork Beetle (mechanical insect toy), 1 - 2 gp,Item,Gear & Gadget Craftworks,Tinkerer
Clockwork Bird Whistle (imitates bird calls), 2 - 5 gp,Item,Gear & Gadget Craftworks,Tinkerer
Compass (enchanted to always point north), 100 - 200 gp,Item,Gear & Gadget Craftworks,Tinkerer
Engraved Metal Sign (custom-made), 10 - 50 gp (depending on size and complexity),Item,Gear & Gadget Craftworks,Tinkerer
Glass Cutter, 5 gp,Item,Gear & Gadget Craftworks,Tinkerer
Glass Vial or Bottle, 1 cp each,Item,Gear & Gadget Craftworks,Tinkerer
Ink for Scribing Scrolls (1 oz. vial), 10 gp,Item,Gear & Gadget Craftworks,Tinkerer
Jeweler’s Loupe, 25 gp,Item,Gear & Gadget Craftworks,Tinkerer
Lantern, 5 sp,Item,Gear & Gadget Craftworks,Tinkerer
Lockpicks, 25 gp,Item,Gear & Gadget Craftworks,Tinkerer
Magnesium Flare (for signaling), 1 gp each,Item,Gear & Gadget Craftworks,Tinkerer
Magnifying Glass, 100 gp,Item,Gear & Gadget Craftworks,Tinkerer
"Mechanical Toy (e.g., wind-up animal)", 5 - 10 gp,Item,Gear & Gadget Craftworks,Tinkerer
Mechanical Toy (elaborate wind-up creature), 10 - 20 gp,Item,Gear & Gadget Craftworks,Tinkerer
Metal or Wooden Compass, 10 sp,Item,Gear & Gadget Craftworks,Tinkerer
Metal or Wooden Lockbox, 10 - 25 gp,Item,Gear & Gadget Craftworks,Tinkerer
Pocket Watch, 5 - 10 gp,Item,Gear & Gadget Craftworks,Tinkerer
Pulleys and Winches (for lifting heavy objects), 5 - 10 gp each,Item,Gear & Gadget Craftworks,Tinkerer
Quill and Inkwell Set, 1 gp,Item,Gear & Gadget Craftworks,Tinkerer
Scroll Case (decorated with intricate designs), 5 - 10 gp,Item,Gear & Gadget Craftworks,Tinkerer
"Simple Hand Tools (hammer, chisel, file, etc.)", 1 - 5 sp,Item,Gear & Gadget Craftworks,Tinkerer
Small Clockwork Music Box, 20 - 50 gp,Item,Gear & Gadget Craftworks,Tinkerer
Small Clockwork Toy, 1 - 2 gp,Item,Gear & Gadget Craftworks,Tinkerer
Small Gear or Spring, 1 sp,Item,Gear & Gadget Craftworks,Tinkerer
Small Metal Mirror, 5 sp,Item,Gear & Gadget Craftworks,Tinkerer
Small Wooden Puzzle Box, 5 sp,Item,Gear & Gadget Craftworks,Tinkerer
Spyglass, 1000 gp,Item,Gear & Gadget Craftworks,Tinkerer
Tinker’s Toolkit (more advanced tools for tinkering), 100 gp,Item,Gear & Gadget Craftworks,Tinkerer
Tinker’s Tools (for DIY tinkering), 50 gp,Item,Gear & Gadget Craftworks,Tinkerer
Torch, 1 cp each,Item,Gear & Gadget Craftworks,Tinkerer
Whetstone, 1 sp,Item,Gear & Gadget Craftworks,Tinkerer
"Basic Repair Work (small household items, simple tools)", 1 - 5 gp,Service,Gear & Gadget Craftworks,Tinkerer
Clock or Pocket Watch Repair, 10 - 50 gp (depending on complexity),Service,Gear & Gadget Craftworks,Tinkerer
Clockwork Automaton Maintenance, 25 - 100 gp (depending on size and complexity),Service,Gear & Gadget Craftworks,Tinkerer
Custom Engravings or Inscriptions, 1 - 10 gp (depending on complexity and size),Service,Gear & Gadget Craftworks,Tinkerer
Custom Mechanical Device or Contraption, 50 - 200 gp (plus cost of materials),Service,Gear & Gadget Craftworks,Tinkerer
Lock Repair, 10 - 20 gp,Service,Gear & Gadget Craftworks,Tinkerer
Tinkering Lessons (per hour), 5 gp,Service,Gear & Gadget Craftworks,Tinkerer
Consultation Fee (for brainstorming or troubleshooting), 5 - 10 gp,Service,Gear & Gadget Craftworks,Tinkerer
Basic Tobacco Blend, 1 sp,Item,Grimshaw's Pipe and Leaf Emporium,Tobacconist
Basic Wooden Pipe Rack, 2 sp,Item,Grimshaw's Pipe and Leaf Emporium,Tobacconist
Carved Wooden Pipe Rack, 5 sp,Item,Grimshaw's Pipe and Leaf Emporium,Tobacconist
Cigarette Rolling Papers (pack of 10), 1 cp,Item,Grimshaw's Pipe and Leaf Emporium,Tobacconist
Cigars (per piece), 5 sp,Item,Grimshaw's Pipe and Leaf Emporium,Tobacconist
Clay Storage Jar, 1 sp,Item,Grimshaw's Pipe and Leaf Emporium,Tobacconist
Glass Storage Jar with Cork Lid, 5 sp,Item,Grimshaw's Pipe and Leaf Emporium,Tobacconist
Gold-plated snuff Box, 3 gp,Item,Grimshaw's Pipe and Leaf Emporium,Tobacconist
Metal Decorative Pipe, 5 sp,Item,Grimshaw's Pipe and Leaf Emporium,Tobacconist
Ornate Metal Pipe Rack, 1 gp,Item,Grimshaw's Pipe and Leaf Emporium,Tobacconist
Pipe Cleaners (bundle), 1 cp,Item,Grimshaw's Pipe and Leaf Emporium,Tobacconist
Pipe Filters (set of 5), 1 sp,Item,Grimshaw's Pipe and Leaf Emporium,Tobacconist
Pipe Screens (set of 5), 1 sp,Item,Grimshaw's Pipe and Leaf Emporium,Tobacconist
Pipe Tamper, 5 cp,Item,Grimshaw's Pipe and Leaf Emporium,Tobacconist
Pipe Tobacco Blends (per pouch), 2 sp,Item,Grimshaw's Pipe and Leaf Emporium,Tobacconist
"Pipe Tool Set (includes tamper, scraper, and poker)", 1 gp,Item,Grimshaw's Pipe and Leaf Emporium,Tobacconist
Premium Tobacco Blend, 1 gp,Item,Grimshaw's Pipe and Leaf Emporium,Tobacconist
Silver Snuff Box, 5 sp,Item,Grimshaw's Pipe and Leaf Emporium,Tobacconist
Simple Pipe, 5 cp,Item,Grimshaw's Pipe and Leaf Emporium,Tobacconist
Tobacco Leaves (per ounce), 5 cp,Item,Grimshaw's Pipe and Leaf Emporium,Tobacconist
Wooden Carved Pipe, 1 sp,Item,Grimshaw's Pipe and Leaf Emporium,Tobacconist
